datetime,instrument,KLEN,KLOW,ROC60,STD5,RSQR5,RSQR10,RSQR20,RSQR60,RESI5,RESI10,CORR5,CORR10,CORR20,CORR60,CORD5,CORD10,CORD60,VSTD5,WVMA5,WVMA60,LABEL0
2020-01-02,sh600519,0.32832208,1.2835197,0.55844593,0.78616685,-1.4731438,-0.90156424,-0.93203425,-0.7042607,-3.0,-1.4815005,-0.66316926,-0.24257784,-0.09210623,-0.5664708,-1.1586723,-1.1296794,-1.4351821,1.0512538,2.010754,3.0,0
2020-01-03,sh600519,1.3157552,-0.6363917,0.89916086,2.7673514,0.08694179,-0.8946773,-0.63811374,-0.57002205,-2.4902058,-2.9100654,-1.13933,-0.87295383,-0.90937966,-0.7523118,-0.7663108,-0.8322461,-1.2557993,1.7783486,0.43270713,3.0,1
2020-01-06,sh600519,0.14749359,-0.25077483,1.0132371,3.0,0.7853497,-0.49508774,-0.43677756,-0.47231117,1.1053586,-1.7591699,-0.94517756,-0.9144766,-1.0599484,-0.82497877,-1.0320381,-0.8418481,-1.2038928,3.0,0.9055987,3.0,0
2020-01-07,sh600519,-0.13805634,-0.7339955,0.9430681,2.6794891,0.16415545,-0.2543516,-0.24394535,-0.39383045,2.7419677,-0.240879,-0.7841351,-0.8801311,-1.068665,-0.8545545,-1.0757567,-0.87283605,-1.2279099,3.0,0.933386,3.0,0
2020-01-08,sh600519,-2.1811004,-0.9481598,1.1549344,0.41523007,-0.8547568,-0.038889647,-0.09359688,-0.35979295,0.7853436,0.06729367,0.39926732,-0.64798343,-0.8730693,-0.8430443,-1.0656801,-0.8525241,-1.3166939,3.0,0.8886279,3.0,0
2020-01-09,sh600519,-0.8108242,-0.18115199,0.8392881,-0.663332,0.42149684,0.12577718,0.0,-0.27620706,0.25841007,1.149257,-0.8479882,-0.59744775,-0.83050984,-0.8706516,-0.10942834,-0.7849567,-1.2083219,3.0,2.318133,3.0,0
2020-01-10,sh600519,-0.99624336,0.2813745,0.8553218,-0.4143393,0.6348094,0.10014325,0.18049817,-0.22629838,0.18348996,1.7098255,-0.562968,-0.54669416,-0.8256772,-0.88133526,0.60667604,-0.7900141,-1.1683095,1.4680662,-0.3324749,3.0,-1
2020-01-13,sh600519,-2.1811004,-0.9481598,0.74676037,-0.3212323,0.6426688,-0.38829136,0.07732129,-0.17828345,0.29654288,1.8184767,0.3141472,-0.57374436,-0.8253301,-0.8918827,0.53318304,-0.9868096,-1.1696851,-0.18018349,-1.1813148,3.0,0
2020-01-14,sh600519,-2.1811004,-0.9481598,0.8036447,-0.4076816,-0.20069192,-0.83521575,0.15657887,-0.10113396,-1.147846,0.50335306,0.9541646,-0.5820405,-0.8077756,-0.8951909,0.50294805,-0.9697897,-1.1508316,-0.67449075,-1.5089545,3.0,0
2020-01-15,sh600519,-0.72309434,-0.1896312,0.7889224,-0.9173603,-1.2991027,-0.7448681,0.04764574,-0.034736887,-0.23984066,-0.02863676,0.03161855,-0.0933091,-0.84385985,-0.8785047,0.31704706,-0.9857975,-1.1566308,-0.35586253,-1.3811375,3.0,0
