date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-01-02,sh.000905,6263.1500,6332.6080,6258.1560,6332.2260,6250.8200,7303223552,88153985024.0000,3,0.010982,1,1.302300,
2018-01-03,sh.000905,6331.7190,6391.9790,6324.2600,6388.2530,6332.2260,8393674496,103454687232.0000,3,0.012621,1,0.884800,
2018-01-04,sh.000905,6380.2660,6418.2560,6375.5130,6417.5350,6388.2530,8054369024,102929657856.0000,3,0.012110,1,0.458400,
2018-01-05,sh.000905,6414.7650,6435.8540,6397.2920,6417.2530,6417.5350,8158101760,97642299392.0000,3,0.012266,1,-0.004400,
2018-01-08,sh.000905,6413.8730,6446.7870,6393.8810,6446.1810,6417.2530,8947692800,106389590016.0000,3,0.013419,1,0.450800,
2018-01-09,sh.000905,6441.6840,6449.0340,6425.0270,6445.7460,6446.1810,7557321728,92837781504.0000,3,0.011332,1,-0.006700,
2018-01-10,sh.000905,6443.4600,6444.3080,6361.0940,6405.9390,6445.7460,8096697344,98938306560.0000,3,0.012139,1,-0.617600,
2018-01-11,sh.000905,6391.9040,6432.4390,6371.5430,6425.9400,6405.9390,7877007104,91569209344.0000,3,0.011815,1,0.312200,
2018-01-12,sh.000905,6418.8270,6435.1940,6387.7820,6399.3730,6425.9400,7783455744,89777057792.0000,3,0.011677,1,-0.413400,
2018-01-15,sh.000905,6391.3660,6392.5170,6236.5620,6253.3750,6399.3730,9147403264,110512922624.0000,3,0.013724,1,-2.281400,
2018-01-16,sh.000905,6245.1530,6301.4040,6245.1120,6301.1320,6253.3750,7916973312,96364863488.0000,3,0.011878,1,0.763700,
2018-01-17,sh.000905,6288.0160,6288.1430,6202.3150,6267.4590,6301.1320,8419550208,99694460928.0000,3,0.012632,1,-0.534400,
2018-01-18,sh.000905,6253.0610,6295.7760,6253.0610,6286.8000,6267.4590,6501529344,76896813056.0000,3,0.009753,1,0.308600,
2018-01-19,sh.000905,6284.5960,6316.9970,6261.2350,6272.3800,6286.8000,7180674304,84263165952.0000,3,0.010772,1,-0.229400,
2018-01-22,sh.000905,6264.7550,6347.8140,6248.3140,6347.6380,6272.3800,7276116992,85475483648.0000,3,0.010914,1,1.199800,
2018-01-23,sh.000905,6342.6880,6362.5800,6330.4560,6354.9970,6347.6380,6675388672,80539656192.0000,3,0.010010,1,0.115900,
2018-01-24,sh.000905,6353.2970,6395.5720,6322.9190,6394.2990,6354.9970,7734772736,94754082816.0000,3,0.011599,1,0.618400,
2018-01-25,sh.000905,6386.7990,6424.3500,6380.8370,6382.7160,6394.2990,8108293632,95990444032.0000,3,0.012154,1,-0.181100,
2018-01-26,sh.000905,6374.0990,6401.4830,6368.9000,6383.6310,6382.7160,6900454912,82476802048.0000,3,0.010343,1,0.014300,
2018-01-29,sh.000905,6385.0360,6398.9690,6295.8950,6309.8830,6383.6310,8403116032,96862081024.0000,3,0.012594,1,-1.155300,
2018-01-30,sh.000905,6301.3480,6330.5370,6300.4550,6313.4420,6309.8830,7069968896,81577586688.0000,3,0.010596,1,0.056400,
2018-01-31,sh.000905,6277.7410,6277.7410,6170.1600,6189.3410,6313.4420,8073349632,88106213376.0000,3,0.012097,1,-1.965700,
2018-02-01,sh.000905,6180.9990,6196.7140,5984.2840,5984.7420,6189.3410,9496852480,102122045440.0000,3,0.014230,1,-3.305700,
2018-02-02,sh.000905,5937.6190,6006.4740,5844.4630,6004.8490,5984.7420,8374756096,89557323776.0000,3,0.012549,1,0.336000,
2018-02-05,sh.000905,5927.7360,6016.1570,5907.4690,5998.2230,6004.8490,7404652032,79277072384.0000,3,0.011097,1,-0.110300,
2018-02-06,sh.000905,5886.3450,5920.7390,5702.8500,5704.2640,5998.2230,9234070784,95655940096.0000,3,0.013839,1,-4.900800,
2018-02-07,sh.000905,5805.9650,5831.8110,5630.0860,5711.3320,5704.2640,8523599616,88965423104.0000,3,0.012774,1,0.123900,
2018-02-08,sh.000905,5695.6650,5786.7850,5691.2910,5766.4790,5711.3320,6244479744,66338245120.0000,3,0.009359,1,0.965600,
2018-02-09,sh.000905,5631.9600,5663.1030,5490.6240,5554.8970,5766.4790,8431884288,82291671040.0000,3,0.012633,1,-3.669200,
2018-02-12,sh.000905,5581.7110,5714.8180,5581.7110,5699.0970,5554.8970,5724649472,61430758144.0000,3,0.008569,1,2.595900,
2018-02-13,sh.000905,5731.1470,5789.6970,5727.7540,5736.9500,5699.0970,5720863488,62790499584.0000,3,0.008560,1,0.664200,
2018-02-14,sh.000905,5741.8830,5761.7680,5712.8790,5754.8340,5736.9500,4139822208,42489982208.0000,3,0.006194,1,0.311700,
2018-02-22,sh.000905,5800.9490,5875.7590,5797.9070,5875.7270,5754.8340,5963610624,61991950336.0000,3,0.008916,1,2.100700,
2018-02-23,sh.000905,5877.7150,5902.9350,5848.5220,5897.6760,5875.7270,6214785024,64825103104.0000,3,0.009292,1,0.373500,
2018-02-26,sh.000905,5926.4200,6032.1350,5917.6160,6029.6790,5897.6760,8307398656,92064854016.0000,3,0.012413,1,2.238200,
2018-02-27,sh.000905,6025.8830,6042.3880,6000.8810,6010.5570,6029.6790,7702215936,90285129728.0000,3,0.011508,1,-0.317100,
2018-02-28,sh.000905,5967.8970,6044.0690,5939.6420,6023.6770,6010.5570,7098691584,82266509312.0000,3,0.010607,1,0.218300,
2018-03-01,sh.000905,5987.3590,6090.9950,5974.1180,6090.2240,6023.6770,7310177280,86470402048.0000,3,0.010923,1,1.104800,
2018-03-02,sh.000905,6053.4760,6094.7970,6044.2590,6056.3350,6090.2240,7343482880,86135001088.0000,3,0.010972,1,-0.556500,
2018-03-05,sh.000905,6066.6830,6080.9690,6031.9800,6064.0980,6056.3350,6732469248,82113732608.0000,3,0.010059,1,0.128200,0
2018-03-06,sh.000905,6077.3680,6145.8500,6070.7210,6145.5760,6064.0980,8349576704,99900153856.0000,3,0.012476,1,1.343600,0
2018-03-07,sh.000905,6133.9460,6149.0970,6082.5830,6086.4870,6145.5760,7459412992,84935053312.0000,3,0.011146,1,-0.961500,0
2018-03-08,sh.000905,6073.6710,6131.7040,6073.6710,6131.5140,6086.4870,6788991232,76733022208.0000,3,0.010142,1,0.739800,0
2018-03-09,sh.000905,6131.1240,6211.2780,6131.0140,6206.9750,6131.5140,8592834048,98413232128.0000,3,0.012838,1,1.230700,0
2018-03-12,sh.000905,6230.8120,6295.7800,6230.3900,6295.7770,6206.9750,9766227712,117237501952.0000,3,0.014588,1,1.430700,0
2018-03-13,sh.000905,6285.8020,6297.4320,6251.3980,6254.1450,6295.7770,8480475904,97523499008.0000,3,0.012667,1,-0.661300,0
2018-03-14,sh.000905,6234.2410,6253.1720,6185.1780,6189.3170,6254.1450,7546663424,87185223680.0000,3,0.011272,1,-1.036600,0
2018-03-15,sh.000905,6172.8530,6203.2420,6117.5970,6180.1100,6189.3170,7217392128,82975055872.0000,3,0.010775,1,-0.148800,0
2018-03-16,sh.000905,6181.3810,6205.8670,6146.3050,6146.3050,6180.1100,6507353344,75643387904.0000,3,0.009715,1,-0.547000,0
2018-03-19,sh.000905,6142.5200,6186.6130,6118.2950,6153.8330,6146.3050,6723321344,78681890816.0000,3,0.010037,1,0.122500,0
2018-03-20,sh.000905,6109.6050,6176.4960,6091.5030,6173.6980,6153.8330,6747566336,78423732224.0000,3,0.010072,1,0.322800,0
2018-03-21,sh.000905,6182.1090,6224.5550,6125.1350,6129.2040,6173.6980,7948716032,92526116864.0000,3,0.011865,1,-0.720700,0
2018-03-22,sh.000905,6130.0480,6161.3740,6074.6560,6101.2270,6129.2040,6740744192,78135865344.0000,3,0.010061,1,-0.456500,0
2018-03-23,sh.000905,5913.3680,5978.4230,5722.7730,5787.1520,6101.2270,12136706048,121045069824.0000,3,0.018111,1,-5.147700,0
2018-03-26,sh.000905,5715.3520,5902.9580,5675.3660,5902.9580,5787.1520,8477291264,91809710080.0000,3,0.012650,1,2.001100,0
2018-03-27,sh.000905,5956.2350,6043.0530,5956.2350,6034.7750,5902.9580,8919927040,106538868736.0000,3,0.013310,1,2.233100,0
2018-03-28,sh.000905,5962.5640,6036.1580,5949.1040,5973.3410,6034.7750,7529909504,90975268864.0000,3,0.011237,1,-1.018000,0
2018-03-29,sh.000905,5993.9720,6040.8620,5967.6340,6034.8570,5973.3410,6881373440,82742505472.0000,3,0.010246,1,1.029800,0
2018-03-30,sh.000905,6052.1750,6115.2730,6051.0210,6114.7380,6034.8570,7304648960,94445330432.0000,3,0.010878,1,1.323700,0
2018-04-02,sh.000905,6127.2330,6169.2990,6113.3380,6121.9640,6114.7380,8543383296,109910556672.0000,3,0.012698,1,0.118200,0
2018-04-03,sh.000905,6039.0670,6066.4440,6008.5080,6059.7080,6121.9640,7174988288,87808372736.0000,3,0.010664,1,-1.016900,0
2018-04-04,sh.000905,6077.6460,6098.8370,6011.1510,6017.6860,6059.7080,6726019840,83134529536.0000,3,0.009994,1,-0.693500,0
2018-04-09,sh.000905,5994.3470,6053.9680,5954.5370,6025.6490,6017.6860,6485181952,79255887872.0000,3,0.009636,1,0.132300,0
2018-04-10,sh.000905,6032.4880,6064.3850,5992.9970,6063.7420,6025.6490,6942098944,81611902976.0000,3,0.010304,1,0.632200,0
2018-04-11,sh.000905,6082.0310,6110.1760,6073.2200,6086.6120,6063.7420,6624886016,81079828480.0000,3,0.009833,1,0.377200,0
2018-04-12,sh.000905,6073.7650,6091.9830,6039.5640,6051.3340,6086.6120,6052423936,72705101824.0000,3,0.008980,1,-0.579600,0
2018-04-13,sh.000905,6073.8350,6093.3460,6018.0060,6027.1860,6051.3340,5415763712,66885602048.0000,3,0.008035,1,-0.399100,0
2018-04-16,sh.000905,6018.1680,6053.9870,5966.1960,6012.4050,6027.1860,7098586112,87151673344.0000,3,0.010532,1,-0.245200,0
2018-04-17,sh.000905,6024.5540,6038.2480,5886.0230,5890.8570,6012.4050,7192025856,88004231168.0000,3,0.010664,1,-2.021600,0
2018-04-18,sh.000905,5925.8400,5981.3370,5826.6500,5970.6570,5890.8570,7620171264,98199216128.0000,3,0.011293,1,1.354600,0
2018-04-19,sh.000905,5965.2360,6041.9850,5962.7140,6004.7330,5970.6570,7599855616,99648954368.0000,3,0.011255,1,0.570700,0
2018-04-20,sh.000905,5984.0630,5999.0100,5872.5040,5880.8350,6004.7330,7239138816,90559643648.0000,3,0.010769,1,-2.063300,0
2018-04-23,sh.000905,5885.6120,5913.5670,5761.9710,5823.9200,5880.8350,6395239936,81374957568.0000,3,0.009507,1,-0.967800,0
2018-04-24,sh.000905,5825.4520,5957.8290,5825.4520,5957.1920,5823.9200,6795411712,85162004480.0000,3,0.010091,1,2.288400,0
2018-04-25,sh.000905,5929.4050,5968.8790,5919.5220,5959.4220,5957.1920,6038278912,78868221952.0000,3,0.008967,1,0.037400,0
2018-04-26,sh.000905,5951.1910,5955.2610,5846.0800,5847.9760,5959.4220,6263839488,77107589120.0000,3,0.009302,1,-1.870100,0
2018-04-27,sh.000905,5865.4410,5886.0040,5808.7830,5860.9830,5847.9760,5599782144,72295755776.0000,3,0.008298,1,0.222400,0
2018-05-02,sh.000905,5861.8410,5894.4590,5817.3860,5855.3230,5860.9830,6314702592,78765924352.0000,3,0.009350,1,-0.096600,0
2018-05-03,sh.000905,5843.0900,5911.0860,5779.7290,5910.6050,5855.3230,6760449024,83816640512.0000,3,0.009993,1,0.944100,0
2018-05-04,sh.000905,5891.1200,5939.9520,5883.7040,5909.2940,5910.6050,5546404608,73639276544.0000,3,0.008197,1,-0.022200,0
2018-05-07,sh.000905,5921.3120,6023.1920,5918.3790,6019.1400,5909.2940,6403335936,83485024256.0000,3,0.009465,1,1.858900,0
2018-05-08,sh.000905,6023.5820,6042.0680,6012.1260,6041.8140,6019.1400,6219466496,80480595968.0000,3,0.009193,1,0.376700,0
2018-05-09,sh.000905,6034.4560,6042.9060,6002.3880,6029.2320,6041.8140,5412415232,67413871104.0000,3,0.007998,1,-0.208200,0
2018-05-10,sh.000905,6036.0060,6052.7090,5999.9510,6040.5710,6029.2320,5831066624,72313749504.0000,3,0.008617,1,0.188100,0
2018-05-11,sh.000905,6044.9820,6052.5420,5989.4270,5991.3420,6040.5710,6384725248,76807401472.0000,3,0.009435,1,-0.815000,0
2018-05-14,sh.000905,5982.4700,6008.8870,5951.6740,5967.5540,5991.3420,5979819264,75641884672.0000,3,0.008832,1,-0.397000,0
2018-05-15,sh.000905,5972.1610,6021.0160,5947.4570,6020.5690,5967.5540,5472154624,69542969344.0000,3,0.008078,1,0.888400,0
2018-05-16,sh.000905,6002.7530,6045.0340,5991.3750,6004.0690,6020.5690,5833863936,74115190784.0000,3,0.008604,1,-0.274100,0
2018-05-17,sh.000905,6000.7410,6010.2950,5959.7300,5973.7780,6004.0690,5299727360,65967379712.0000,3,0.007816,1,-0.504500,0
2018-05-18,sh.000905,5968.5590,6000.9480,5932.1290,5995.1490,5973.7780,5786827520,70899023872.0000,3,0.008505,1,0.357700,0
2018-05-21,sh.000905,6034.4260,6080.8220,6034.0580,6072.1990,5995.1490,7072244992,86933286912.0000,3,0.010394,1,1.285200,0
2018-05-22,sh.000905,6066.2500,6092.9060,6052.0900,6092.9060,6072.1990,6226685184,74429136896.0000,3,0.009147,1,0.341000,0
2018-05-23,sh.000905,6080.7250,6081.5330,6012.4160,6013.8470,6092.9060,6784586752,82629861376.0000,3,0.009967,1,-1.297600,0
2018-05-24,sh.000905,6014.0210,6028.5010,5986.7230,5992.6200,6013.8470,5371180800,67066127872.0000,3,0.007884,1,-0.353000,0
2018-05-25,sh.000905,5983.9400,5992.4790,5909.0440,5917.7970,5992.6200,5779380992,69492015104.0000,3,0.008469,1,-1.248600,0
2018-05-28,sh.000905,5910.4810,5938.0720,5858.2710,5891.2620,5917.7970,5781012224,68653122304.0000,3,0.008456,1,-0.448400,0
2018-05-29,sh.000905,5884.5890,5921.7200,5832.5520,5835.4450,5891.2620,5617992960,67901925120.0000,3,0.008192,1,-0.947500,0
2018-05-30,sh.000905,5759.4490,5778.0420,5675.9110,5682.5880,5835.4450,6852788480,76127637504.0000,3,0.009991,1,-2.619500,0
2018-05-31,sh.000905,5722.9470,5760.2030,5672.1830,5754.4740,5682.5880,5600885504,65192215296.0000,3,0.008156,1,1.265000,0
2018-06-01,sh.000905,5729.9170,5759.4970,5654.8400,5685.1150,5754.4740,5383357184,61533903616.0000,3,0.007834,1,-1.205300,0
2018-06-04,sh.000905,5692.9690,5707.4930,5652.1360,5683.1480,5685.1150,4675028224,54050300160.0000,3,0.006800,1,-0.034600,0
